 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 17, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- O.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.556E+01  8.659E-01    2507 A       651 A       678 A   
  11.00 keV   4.766E+01  8.096E-01    2698 A       670 A       707 A   
  12.00 keV   4.965E+01  7.610E-01    2882 A       688 A       733 A   
  13.00 keV   5.154E+01  7.185E-01    3061 A       703 A       757 A   
  14.00 keV   5.334E+01  6.810E-01    3235 A       718 A       780 A   
  15.00 keV   5.506E+01  6.476E-01    3404 A       731 A       801 A   
  16.00 keV   5.670E+01  6.178E-01    3570 A       743 A       821 A   
  17.00 keV   5.828E+01  5.908E-01    3731 A       754 A       840 A   
  18.00 keV   5.978E+01  5.663E-01    3889 A       764 A       858 A   
  20.00 keV   6.261E+01  5.236E-01    4195 A       784 A       890 A   
  22.50 keV   6.584E+01  4.793E-01    4562 A       805 A       927 A   
  25.00 keV   6.875E+01  4.425E-01    4915 A       824 A       960 A   
  27.50 keV   7.138E+01  4.115E-01    5256 A       840 A       990 A   
  30.00 keV   7.376E+01  3.849E-01    5586 A       855 A      1017 A   
  32.50 keV   7.590E+01  3.618E-01    5907 A       868 A      1043 A   
  35.00 keV   7.783E+01  3.416E-01    6221 A       880 A      1066 A   
  37.50 keV   7.957E+01  3.237E-01    6529 A       892 A      1089 A   
  40.00 keV   8.112E+01  3.078E-01    6830 A       902 A      1109 A   
  45.00 keV   8.373E+01  2.806E-01    7420 A       923 A      1148 A   
