Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0198835 	0.001000	0.0167737 	0.001000	0.021694  	0.001000	0.021694  	0.001000	0.0134298 	0.001000	0.00334388	
0.002000	0.0241703 	0.002000	0.020106  	0.002000	0.0257507 	0.002000	0.0257507 	0.002000	0.0177393 	0.002000	0.00236663	
0.005000	0.0321167 	0.005000	0.0270406 	0.005000	0.0338208 	0.005000	0.0338208 	0.005000	0.0256752 	0.005000	0.00136542	
0.008000	0.0374726 	0.008000	0.0320611 	0.008000	0.0395211 	0.008000	0.0395211 	0.008000	0.0310621 	0.008000	0.000999023	
0.010000	0.0403699 	0.010000	0.034864  	0.010000	0.0426744 	0.010000	0.0426744 	0.010000	0.0340083 	0.010000	0.000855666	
0.015000	0.0487402 	0.015000	0.0419394 	0.015000	0.049247  	0.015000	0.049247  	0.015000	0.0412997 	0.015000	0.00063972	
0.020000	0.0555885 	0.020000	0.0478606 	0.020000	0.0546504 	0.020000	0.0546504 	0.020000	0.0473435 	0.020000	0.000517045	
0.025000	0.0612489 	0.025000	0.0529481 	0.025000	0.0593147 	0.025000	0.0593147 	0.025000	0.0525135 	0.025000	0.0004346 	
0.030000	0.065898  	0.030000	0.0573784 	0.030000	0.0625581 	0.030000	0.0625581 	0.030000	0.0570004 	0.030000	0.000377979	
0.035000	0.0696513 	0.035000	0.0612531 	0.035000	0.0652979 	0.035000	0.0652979 	0.035000	0.0609177 	0.035000	0.000335441	
0.040000	0.0725995 	0.040000	0.0646427 	0.040000	0.0676239 	0.040000	0.0676239 	0.040000	0.0643405 	0.040000	0.000302197	
